ID,LIMIT_BAL,GENDER,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month
3814,60000,2,2,1,42,0,0,0,0,0,0,0,57923,58987,17350,17937,17298,0,3000,800,1000,1000,1000,0
7338,230000,2,1,1,36,0,-1,2,-1,-1,-1,0,9567,3074,3660,3790,6006,0,0,3660,3790,6006,5647,1
24484,160000,1,1,1,41,0,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
19593,170000,2,2,1,45,0,0,0,0,0,0,0,169944,169829,162988,125969,127643,0,6336,5205,4452,4592,4677,0
5122,200000,1,1,1,37,0,2,-1,-1,-1,-1,0,123,123,200,123,280,0,123,200,123,280,151,1
14906,90000,2,6,3,46,0,0,0,0,0,0,0,26691,21066,20422,20327,13619,0,1494,600,1000,1000,257,0
8224,30000,1,2,2,30,0,3,2,2,2,0,0,29809,28920,29887,29525,25006,0,0,1900,15,1030,30802,0
2869,150000,2,1,2,27,0,-1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,24948,0
2343,290000,1,2,1,50,0,0,0,0,0,0,0,79214,81301,84033,86513,90056,0,4000,5000,4000,5000,5000,0
8833,470000,1,2,2,34,0,0,0,0,0,0,0,245552,238161,240607,230142,198171,0,10400,10000,25000,8000,8000,0
7933,130000,1,1,1,70,0,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
16558,280000,1,2,2,27,0,-2,-2,-2,-2,-2,0,2872,1572,2437,1572,1572,0,1586,2444,1586,1579,1579,0
20605,110000,1,2,2,29,0,0,0,0,0,0,0,107221,109494,111954,111771,111703,0,4000,4300,4164,4500,4200,0
12984,30000,1,1,2,31,0,0,0,0,0,0,0,18550,13198,13222,14620,17376,0,1196,1000,2000,3000,5000,0
3015,200000,1,1,2,35,0,-1,-1,-1,-1,-1,0,24325,40258,15103,14079,20878,0,40265,15159,14079,20878,26716,0
27332,280000,1,2,1,39,0,-2,-2,-2,-2,-2,0,7391,5234,3316,2970,3978,0,5234,3316,2970,3978,3258,0
12125,420000,1,1,2,42,0,0,0,0,0,0,0,155282,116385,106961,92331,89566,0,5678,3577,3023,3026,3012,0
3753,360000,2,1,1,31,0,-2,-2,-1,0,-1,0,-5,-5,4232,3189,7511,0,0,4237,16,7548,4105,0
27388,120000,1,2,1,43,0,-1,-2,-1,-1,-1,0,2809,1021,2311,3868,2980,0,1021,2321,3868,2980,0,0
12336,210000,1,2,2,26,0,0,0,0,0,0,0,197252,140440,122678,120215,112973,0,5000,5004,4500,3950,3800,0
11545,300000,2,2,1,34,0,-1,-1,-1,-1,-1,0,1000,1000,1000,2000,1000,0,1000,1000,2000,1000,1000,1
11357,30000,2,3,1,43,0,2,2,2,2,2,0,13103,13785,13911,13548,14465,0,1200,646,0,1300,1000,0
2677,120000,1,1,1,51,0,0,2,0,0,0,0,130461,131281,128594,117561,116732,0,4500,4260,4595,4311,4280,0
28739,240000,2,2,1,31,0,-1,-1,-1,-1,-1,0,0,2500,12500,749,2829,0,2500,12500,749,2829,2900,0
29996,220000,1,3,1,39,0,0,0,0,0,0,0,192815,208365,88004,31237,15980,0,20000,5003,3047,5000,1000,0
20748,360000,1,2,1,36,0,-2,-2,-2,-2,-2,0,928,5384,499,596,2338,0,5405,500,597,2340,2649,0
13376,10000,2,3,1,58,0,0,0,0,0,0,0,8598,9590,9782,9986,9173,0,1150,335,346,336,1323,0
17987,240000,1,1,1,38,0,3,2,-1,-1,0,0,3360,1291,2740,2241,1060,0,10,2740,2241,0,2731,0
7886,50000,2,1,2,24,0,0,0,-2,-2,-2,0,13490,0,0,0,0,0,0,0,0,0,0,1
13333,50000,2,2,1,49,0,0,0,0,0,0,0,49100,50380,19144,17625,17246,0,2500,644,628,642,1500,0
9586,80000,2,2,1,24,0,0,0,-1,-1,-2,0,2472,0,492,0,0,0,0,492,0,0,0,0
6333,170000,1,1,1,60,0,0,0,0,0,0,0,178514,98196,100108,95629,89472,0,3600,3500,3500,3300,3500,1
24430,50000,1,3,2,39,0,0,0,0,0,0,0,40701,41342,41424,41182,41187,0,2000,2000,1600,2000,2000,1
18080,50000,1,2,2,42,0,0,0,0,0,0,0,50586,49200,49763,18373,19187,0,3000,3003,5000,2000,1500,0
5202,230000,1,1,2,36,0,0,0,0,0,0,0,223208,159930,141834,213408,222681,0,5600,10753,100000,12823,8910,0
748,300000,2,3,1,34,0,0,0,0,0,0,0,275303,271952,193403,187562,191069,0,12000,7200,6500,6173,5500,1
9761,280000,2,2,1,29,0,0,0,0,0,0,0,87171,87786,86510,83560,84808,0,3066,3171,3501,3030,2789,0
29613,20000,1,2,3,47,0,-1,2,2,-1,-1,0,780,390,0,780,0,0,0,0,780,0,0,1
19993,240000,2,2,1,34,0,-1,0,0,-1,-1,0,1921,20740,21274,888,360,0,19000,2624,888,360,360,0
23190,100000,2,2,1,42,0,0,0,0,0,0,0,65917,67673,66292,67793,67182,0,4000,3000,2500,3000,2500,0
25536,360000,2,1,2,35,0,-1,-1,-1,0,0,0,13466,17584,17354,37703,22490,0,17631,17741,25203,10000,216,0
17964,70000,1,2,2,32,0,0,0,0,0,0,0,70393,131412,63823,52339,40836,0,2523,2441,3038,2029,70004,1
25247,270000,2,2,2,25,0,0,0,0,0,0,0,39492,33898,35272,37201,31447,0,2000,2000,2408,1500,2013,0
5082,290000,2,2,1,36,0,-2,-2,-2,-2,-2,0,-98,-309,63,227,946,0,0,500,590,1045,0,0
9351,400000,2,2,1,34,0,-1,0,-1,-1,0,0,25772,12621,13983,3378,3770,0,1500,13983,3378,2000,9353,0
10983,300000,2,1,1,59,0,-1,2,2,2,2,0,2500,2500,2500,2500,2500,0,0,0,0,0,0,0
23622,210000,2,3,1,44,0,-2,-2,-2,-2,-2,0,13462,17706,0,5646,14793,0,17706,0,5646,14793,7376,1
13236,50000,2,2,1,55,0,0,2,0,0,0,0,41234,37701,28181,28711,29368,0,0,1300,1100,1100,1000,1
19368,110000,2,2,1,39,0,0,0,0,0,0,0,91198,85136,80491,78967,80628,0,3050,2765,2304,2400,1885,0
1191,240000,2,1,2,29,0,0,0,0,0,-2,0,2322,8186,3980,0,0,0,2020,2500,0,0,85,0
822,50000,2,2,2,24,0,2,0,0,0,0,0,48082,48614,26667,26036,26850,0,2233,1083,1100,1400,3000,1
15879,80000,2,3,1,28,0,0,0,0,0,0,0,65343,66171,58683,43421,44267,0,2470,2228,1516,2000,1556,1
20498,20000,1,2,2,24,0,2,2,0,0,0,0,7898,7626,8692,9541,9885,0,0,1200,1000,500,500,1
9420,130000,2,2,2,29,0,2,0,0,0,-1,0,156589,145398,136115,138893,127502,0,3300,2500,2778,130000,3689,0
28101,210000,2,1,2,29,0,-1,-1,-1,-1,-1,0,6220,199,0,10024,-18,0,199,200,10024,0,0,0
8893,130000,1,2,2,28,0,0,0,0,0,0,0,74624,76133,77648,79370,80071,0,2750,2767,2961,2913,3000,0
4462,130000,1,1,2,46,0,0,0,0,0,0,0,114977,120976,40177,41529,43734,0,9000,2000,2000,3000,4000,1
25230,20000,2,3,2,22,0,0,0,0,0,0,0,14928,14012,11965,11867,12850,0,2006,2011,7000,2000,4000,0
29986,240000,1,1,2,30,0,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
12607,100000,1,1,2,27,0,-1,-1,-1,-1,-2,0,831,1226,330,0,0,0,1226,330,0,0,0,1
25979,180000,2,4,1,44,0,0,0,0,0,2,0,133924,136707,139438,143513,141119,0,6434,6506,10813,0,5557,0
19133,210000,2,3,1,32,0,0,-1,0,0,0,0,0,712,1025,4584,0,0,712,1000,4000,0,821,0
14741,160000,1,1,1,58,0,-2,-2,-2,-1,-1,0,0,0,0,4816,0,0,0,0,4816,0,0,0
12147,410000,1,2,1,45,0,-2,-2,-2,-2,-2,0,2326,7670,1761,6930,0,0,7670,1761,6930,0,2675,0
2745,240000,1,3,1,55,0,0,0,0,0,0,0,232693,189095,190481,194215,198313,0,7506,6501,6501,7001,17001,0
10115,50000,1,2,2,29,0,0,0,0,0,0,0,19132,15138,14036,14752,15445,0,1065,5000,5000,5000,2000,0
2384,60000,1,2,1,35,0,0,0,0,-1,-1,0,18597,13801,8038,7340,-153,0,2245,161,7340,0,20341,0
9154,210000,1,2,2,32,0,0,2,0,0,0,0,165227,161427,164860,187329,186079,0,0,5666,24886,6282,6494,0
1407,200000,2,1,2,26,0,-2,-2,-2,-2,-2,0,6440,3908,-5,1060,2996,0,3908,5,1065,3000,1108,0
16561,70000,1,1,2,28,0,0,0,0,0,0,0,16923,10076,33079,23188,20937,0,2000,30000,5000,20000,25000,0
19362,210000,2,2,1,33,0,-1,-1,-1,-1,-1,0,1644,2258,8241,428,3537,0,2261,11008,428,3537,0,0
10343,70000,2,2,1,53,0,0,-1,-1,-2,-2,0,0,14000,0,0,0,0,14000,0,0,0,0,0
27757,50000,2,2,1,22,0,0,0,0,0,0,0,48719,47725,46467,14767,15085,0,2200,2000,1000,700,800,0
17615,80000,2,3,1,30,0,2,2,2,2,2,0,41687,42719,43018,44013,45058,0,2000,1300,2000,1900,1900,1
19907,100000,2,2,1,42,0,2,0,0,0,0,0,88637,90169,84714,69482,70226,0,4458,2973,2606,2696,2695,1
24531,30000,1,1,2,36,0,-1,-1,-2,-2,-2,0,9619,-6,-6,-6,-6,0,0,0,0,0,2011,0
27309,20000,1,3,2,33,0,2,2,2,2,2,0,15689,18417,17802,19543,18442,0,3000,0,2000,0,1000,0
17789,140000,1,3,1,58,0,0,0,0,0,0,0,98702,96753,94310,92182,88818,0,4034,5050,6034,3202,5000,0
13076,50000,1,1,2,29,0,-1,0,0,0,0,0,37702,32617,28814,16478,25349,0,1095,2000,10000,13352,10000,0
22090,60000,2,1,2,28,0,0,2,2,-1,-1,0,14486,12163,8891,1723,40276,0,1000,0,1723,40276,3000,0
28574,260000,2,4,2,30,0,-2,-2,-2,-2,-2,0,280,6158,9439,5492,397,0,6160,9439,5492,397,1790,0
20569,20000,1,2,2,28,0,2,0,0,0,0,0,16849,17187,8585,8760,12000,0,1202,1000,175,3240,0,1
17891,170000,1,1,2,28,0,0,0,0,0,0,0,57179,58450,58556,51671,51090,0,2197,1934,1793,2500,2000,0
16838,170000,1,1,2,36,0,-1,-1,-1,-1,-1,0,644,7567,0,499,576,0,7567,0,499,576,0,0
6553,230000,2,3,2,30,0,0,0,0,0,0,0,2778,4734,6642,8520,9869,0,2000,2000,2000,1500,2000,1
19638,50000,2,3,1,49,0,0,0,0,-2,-2,0,50487,51400,0,0,0,0,2400,0,0,0,0,1
18295,150000,1,2,1,55,0,-1,-1,-1,0,0,0,780,0,580,780,0,0,0,580,200,0,0,0
2877,60000,2,2,2,23,0,2,2,0,0,0,0,45698,39068,51205,54520,55964,0,0,12858,4166,2350,3300,0
2983,170000,2,1,2,30,0,-2,-2,-2,-2,-2,0,1958,5956,1836,3959,1285,0,5956,1842,3959,1285,0,0
17411,30000,2,2,2,36,0,0,0,0,0,0,0,12990,14073,15131,15579,16175,0,1600,1600,1000,1000,1000,0
15163,300000,2,2,2,26,0,0,0,-1,0,0,0,18988,6893,49379,49161,50646,0,2000,49379,1500,2000,15000,0
2154,150000,1,1,2,25,0,0,0,0,0,-1,0,95134,31578,26089,16624,5107,0,2000,2000,5000,6000,9000,0
18701,70000,2,1,2,25,0,0,2,2,2,0,0,39980,39063,41592,39101,40310,0,0,3500,0,2000,1813,1
7668,20000,1,1,2,28,0,2,-1,0,0,0,0,1512,20400,20000,20000,0,0,20400,0,0,0,0,0
15244,290000,2,2,2,34,0,0,0,0,0,0,0,41773,40597,38441,37454,35484,0,2000,2000,2000,2000,2000,0
16858,50000,1,1,2,36,0,0,0,0,0,0,0,48854,47892,49439,48630,49160,0,2000,2500,2413,2000,1987,0
13962,330000,2,1,1,34,0,0,-1,-1,0,0,0,24226,15577,89851,86005,121319,0,15579,89851,5000,50000,100000,0
218,80000,1,2,2,36,0,0,0,0,0,0,0,78501,78534,80016,76235,78245,0,3500,3400,3000,3500,3000,0
23288,130000,2,3,1,39,0,0,2,0,0,0,0,99328,96898,97990,100160,102190,0,0,3600,3800,3800,5000,1
2214,210000,1,2,2,25,0,0,-2,-1,0,0,0,-9,-9,3231,125140,124880,0,0,3240,125009,5009,5013,0
6581,20000,1,1,2,25,0,0,0,0,0,0,0,5328,18428,19709,19833,19376,0,15000,2000,1000,900,1000,0
27603,400000,2,1,2,29,0,-2,-2,-2,-2,-2,0,38849,13586,19502,3809,4512,0,13653,19617,3930,7021,24987,0
19377,500000,2,4,2,38,0,-2,-2,-2,-2,-2,0,2265,24667,40626,9255,8659,0,24905,40827,30844,8695,3532,0
7540,360000,2,2,1,42,0,-1,-1,-1,-2,-2,0,968,990,390,390,3103,0,990,390,390,3103,0,0
14977,30000,2,3,1,58,0,2,2,2,2,2,0,27652,27905,27158,29239,29791,0,1000,0,2518,1185,1200,1
10129,130000,2,2,1,37,0,2,2,2,0,0,0,65997,70604,68904,70369,71682,0,6300,0,2700,2600,2800,1
5706,80000,1,1,2,28,0,-2,-2,-2,-2,-2,0,9467,-270,3697,9455,4144,0,0,3967,9455,5000,2900,1
5954,120000,2,1,2,27,0,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
539,50000,2,1,2,52,0,0,0,-2,-1,-1,0,4166,0,0,318,0,0,0,0,318,0,0,0
21664,60000,2,1,2,24,0,0,0,0,0,0,0,23547,24877,21465,21218,21300,0,1750,1338,761,925,887,0
21568,30000,2,1,2,25,0,0,0,0,0,0,0,27483,28242,16498,16923,17649,0,1308,1300,700,1000,2000,0
28983,240000,2,1,2,33,0,0,0,0,0,0,0,92104,85194,83021,78556,78495,0,4200,3600,3000,3000,3000,0
7428,150000,1,1,2,32,0,0,2,2,2,0,0,57496,55705,57210,57084,13194,0,0,2100,222,1000,650,1
20726,450000,1,2,1,41,0,-2,-2,-2,-2,-2,0,1281,907,882,968,1243,0,911,886,972,1249,1416,0
4182,150000,2,1,2,33,0,-1,-1,-1,-1,-1,0,237,1420,1141,1067,1128,0,1426,1141,1067,1200,1150,0
18702,250000,2,2,2,25,0,0,0,0,0,3,0,26114,27446,28371,4715,4358,0,1575,1500,1000,0,0,0
15415,110000,2,3,1,63,0,-1,-1,-1,-1,-1,0,390,390,390,780,0,0,390,390,780,0,390,1
12155,70000,2,1,1,35,0,4,3,2,0,0,0,73268,70275,46045,42357,41026,0,2001,0,1666,1505,2079,0
580,30000,1,2,1,35,0,-1,-1,-1,-1,-2,0,2687,8762,3377,2000,0,0,8765,3390,2040,0,0,0
2169,180000,1,2,1,35,0,2,0,0,0,0,0,31293,31570,33370,33370,0,0,1400,2200,0,0,0,0
24420,260000,1,1,1,34,0,-2,-2,-2,-2,-2,0,-40,-40,8117,-8,-8,0,0,8157,0,0,1673,0
251,50000,2,2,2,26,0,2,2,0,0,0,0,51486,48869,30115,29527,29998,0,136,1206,2002,2005,3003,0
15693,80000,1,2,2,26,0,0,-1,-1,-1,-1,0,-40,70,180,-210,220,0,500,500,0,820,500,0
9972,50000,1,3,2,38,0,0,0,0,0,0,0,32012,34274,38668,40416,20355,0,3000,5000,2000,3000,1200,0
16181,400000,2,1,2,31,0,-1,-1,-1,0,0,0,8572,2190,12881,7497,11563,0,2190,12881,0,4590,0,0
11490,360000,2,1,1,48,0,-1,-1,-1,-1,-1,0,10742,3300,0,1270,0,0,3300,0,1270,0,889,0
9145,360000,1,2,1,31,0,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
29433,130000,1,2,2,30,0,2,2,2,-1,-1,0,780,390,0,780,0,0,0,0,780,0,0,0
25791,50000,2,2,2,38,0,-1,-1,-1,-1,-1,0,390,390,390,390,390,0,390,390,390,390,390,0
5772,300000,1,2,1,40,0,-2,-2,-2,-2,-2,0,4347,0,2208,2475,7580,0,0,2208,2475,7580,0,0
26747,220000,1,1,2,29,0,2,2,2,2,2,0,30215,33117,32286,34320,33634,0,3400,0,2576,0,2671,1
2326,50000,1,3,2,52,0,0,0,0,0,0,0,49344,19596,19194,19201,19199,0,1300,675,694,704,798,0
15431,50000,1,1,1,24,0,0,0,0,0,0,0,47025,48102,48612,49465,50299,0,1840,1751,1717,1773,1845,0
431,90000,2,2,2,25,0,0,0,0,0,0,0,71732,73241,74424,76070,77648,0,3300,3000,3001,3000,3100,0
10769,500000,1,1,1,41,0,0,0,0,0,0,0,572834,430774,437950,447203,456453,0,17200,15853,17000,17000,15740,1
2533,180000,2,1,2,29,0,0,0,0,0,0,0,26613,26941,27705,21955,0,0,1400,1554,0,0,0,0
2458,30000,2,2,1,44,0,2,2,2,2,2,0,9560,9258,11096,11165,10837,0,0,2000,392,0,2000,0
19187,240000,2,2,2,38,0,-2,-2,-2,-2,-2,0,30073,24315,3724,28347,11280,0,24315,3724,28347,11280,31266,0
27236,100000,1,1,2,31,0,2,2,0,0,2,0,22553,21904,23531,24636,25592,0,0,2000,1500,1500,0,0
22292,30000,2,3,1,32,0,0,0,2,0,0,0,25947,30473,27940,28397,29009,0,5303,0,1200,1200,1200,0
11213,130000,2,3,1,57,0,0,0,0,0,0,0,80801,81929,41671,42034,32219,0,4000,3000,2500,1500,2000,1
506,160000,1,1,2,35,0,-1,-1,-1,-1,-1,0,396,396,0,792,1220,0,396,0,793,1220,0,0
23113,70000,2,2,2,30,0,0,2,0,0,0,0,58825,53080,49153,47139,37610,0,0,2000,2000,2000,2000,0
18780,140000,2,3,2,28,0,-1,-1,-1,0,-1,0,7937,9920,7078,3936,1555,0,10132,7084,4,1555,0,0
19083,70000,2,3,1,32,0,0,0,0,2,0,0,10856,10822,13627,10852,12676,0,2000,3000,0,2000,3000,1
17895,200000,1,2,2,27,0,0,0,0,0,0,0,191628,180604,181273,180385,185370,0,10019,8029,7010,10022,7049,1
19007,120000,2,2,2,30,0,-2,-2,-2,-2,-2,0,14770,7817,416,270,0,0,7832,416,270,0,0,0
19691,390000,2,2,1,37,0,0,0,0,0,0,0,164292,144731,145140,130727,131619,0,5358,5500,5000,20000,10000,0
27094,190000,1,1,1,48,0,0,0,0,-2,-2,0,150621,153900,0,0,0,0,6900,0,0,0,0,0
23180,190000,2,2,1,34,0,-2,-2,-2,-2,-2,0,-18,-18,-18,-18,-18,0,0,0,0,0,0,0
12627,80000,1,3,1,55,0,0,0,0,0,0,0,84221,80041,19000,15178,14717,0,8443,1582,548,531,479,0
3835,50000,2,3,1,25,0,2,0,0,0,0,0,30322,31142,29391,30099,28041,0,1833,1000,1000,10000,10000,1
1331,150000,1,1,2,28,0,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
21467,120000,2,2,2,28,0,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
23829,240000,2,1,1,51,0,-2,-2,-1,-1,-1,0,542,3934,6630,6817,7658,0,3953,6646,6865,7673,4208,0
2542,100000,2,1,1,35,0,0,0,2,2,2,0,49489,53034,53568,54563,56013,0,5000,2000,2000,2500,2300,1
28613,360000,2,3,2,39,0,-2,-2,-2,-2,-2,0,0,271,-1,560,0,0,271,0,561,0,0,0
21996,100000,2,2,2,27,0,0,0,0,0,0,0,50270,22576,18247,22029,19540,0,10000,1500,4000,5000,5000,0
11900,50000,2,3,2,25,0,0,0,0,0,0,0,6032,6529,7533,7857,4424,0,1000,1004,3004,1005,2006,0
25873,180000,2,2,2,33,0,-1,-1,-1,-1,-1,0,7817,2358,18572,11560,4298,0,2358,18577,11560,4298,12330,0
26226,280000,2,2,2,39,0,0,0,0,0,0,0,126272,126953,106551,99592,100607,0,5400,5006,3250,3400,3500,0
15806,30000,2,3,1,23,0,0,2,0,0,0,0,30686,29915,29994,27310,27778,0,2,1731,1093,1026,1964,0
9556,240000,1,4,2,29,0,0,0,0,0,0,0,151914,159320,148705,134563,195628,0,10082,8095,7015,67006,7026,0
7568,210000,2,2,1,48,0,-1,-1,-1,-1,0,0,11876,11876,11876,18954,11876,0,11876,11876,18954,5000,11876,0
3508,50000,2,2,1,36,0,0,0,0,0,0,0,42564,38181,30805,28252,28783,0,3000,3000,2000,2000,5000,0
8835,420000,2,1,1,45,0,-1,-1,-1,-1,-1,0,10321,6244,2970,3608,3019,0,6500,3004,3797,3103,4302,0
18785,230000,2,2,2,26,0,-1,0,0,0,-1,0,90523,86813,35695,5555,15165,0,10000,5170,5000,15165,8981,0
29858,50000,1,2,1,47,0,0,0,0,0,0,0,12335,13431,14439,14602,14918,0,1600,1537,700,700,600,0
23588,160000,2,1,2,39,0,-2,-2,-2,-2,-2,0,300,0,0,821,0,0,0,0,821,0,0,0
28268,230000,2,2,1,43,0,0,0,0,0,0,0,7806,8392,8967,8729,10816,0,1295,1300,468,2816,5893,0
5845,180000,2,1,2,27,0,0,2,0,0,0,0,119635,115839,105643,119358,116097,0,121,10000,20000,25000,0,0
26477,380000,2,3,2,51,0,-1,0,-1,0,-1,0,60718,21814,47964,33405,2981,0,2200,48000,0,2981,35500,0
24199,140000,1,1,2,30,0,-1,-1,2,2,-1,0,1885,4158,2021,-372,628,0,4158,0,0,2000,0,0
28882,60000,2,3,1,39,0,2,0,0,2,0,0,29565,31123,34134,23552,24020,0,3000,3638,0,1000,3000,0
4846,170000,1,2,2,34,0,-1,-1,-1,-1,-1,0,326,676,326,326,326,0,676,326,326,326,1722,1
4986,150000,2,1,2,26,0,2,2,2,2,2,0,76865,78214,76363,79893,48052,0,3200,0,5137,0,2200,1
23400,240000,2,3,2,35,0,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
25570,130000,2,3,1,43,0,3,2,2,2,2,0,19085,18491,20579,19950,21625,0,0,2400,0,2000,0,1
20263,50000,2,2,2,51,0,0,0,0,0,0,0,23664,21780,22722,21907,2917,0,1402,1344,1002,58,29,0
20857,200000,1,2,1,38,0,0,0,-2,-2,-2,0,2872,212,2387,0,-2620,0,220,2387,0,0,3380,0
26823,120000,1,2,1,29,0,-1,2,-1,0,0,0,2718,1280,3783,2522,1261,0,0,3822,0,0,1261,0
9318,150000,1,3,1,46,0,0,0,0,0,0,0,98366,99456,79956,78154,76634,0,3404,2722,54788,2770,2798,0
